object_type,page_number,x0,x1,y0,y1,doctop,top,bottom,width,height,adv,dash,evenodd,fill,fontname,linewidth,matrix,mcid,ncs,non_stroking_color,non_stroking_pattern,path,pts,size,stroke,stroking_color,stroking_pattern,tag,text,upright
line,1,17.75,47.194,761.998,761.998,30.001999999999953,30.001999999999953,30.001999999999953,29.444000000000003,0.0,,,0,0,,0.5,,,,"(0, 0, 0)",,"[('m', (17.75, 30.001999999999953)), ('l', (47.194, 30.001999999999953))]","[(17.75, 30.001999999999953), (47.194, 30.001999999999953)]",,1,"(0, 0, 0)",,,,
line,1,46.944,46.944,749.7460000000001,762.248,29.751999999999953,29.751999999999953,42.253999999999905,0.0,12.501999999999953,,,0,0,,0.5,,,,"(0, 0, 0)",,"[('m', (46.944, 29.751999999999953)), ('l', (46.944, 42.253999999999905))]","[(46.944, 29.751999999999953), (46.944, 42.253999999999905)]",,1,"(0, 0, 0)",,,,
line,1,18.0,18.0,749.7460000000001,762.248,29.751999999999953,29.751999999999953,42.253999999999905,0.0,12.501999999999953,,,0,0,,0.5,,,,"(0, 0, 0)",,"[('m', (18.0, 29.751999999999953)), ('l', (18.0, 42.253999999999905))]","[(18.0, 29.751999999999953), (18.0, 42.253999999999905)]",,1,"(0, 0, 0)",,,,
line,1,46.694,169.594,761.998,761.998,30.001999999999953,30.001999999999953,30.001999999999953,122.89999999999999,0.0,,,0,0,,0.5,,,,"(0, 0, 0)",,"[('m', (46.694, 30.001999999999953)), ('l', (169.594, 30.001999999999953))]","[(46.694, 30.001999999999953), (169.594, 30.001999999999953)]",,1,"(0, 0, 0)",,,,
line,1,169.344,169.344,749.7460000000001,762.248,29.751999999999953,29.751999999999953,42.253999999999905,0.0,12.501999999999953,,,0,0,,0.5,,,,"(0, 0, 0)",,"[('m', (169.344, 29.751999999999953)), ('l', (169.344, 42.253999999999905))]","[(169.344, 29.751999999999953), (169.344, 42.253999999999905)]",,1,"(0, 0, 0)",,,,
line,1,46.944,46.944,749.7460000000001,762.248,29.751999999999953,29.751999999999953,42.253999999999905,0.0,12.501999999999953,,,0,0,,0.5,,,,"(0, 0, 0)",,"[('m', (46.944, 29.751999999999953)), ('l', (46.944, 42.253999999999905))]","[(46.944, 29.751999999999953), (46.944, 42.253999999999905)]",,1,"(0, 0, 0)",,,,
line,1,169.094,237.994,761.998,761.998,30.001999999999953,30.001999999999953,30.001999999999953,68.9,0.0,,,0,0,,0.5,,,,"(0, 0, 0)",,"[('m', (169.094, 30.001999999999953)), ('l', (237.994, 30.001999999999953))]","[(169.094, 30.001999999999953), (237.994, 30.001999999999953)]",,1,"(0, 0, 0)",,,,
line,1,237.744,237.744,749.7460000000001,762.248,29.751999999999953,29.751999999999953,42.253999999999905,0.0,12.501999999999953,,,0,0,,0.5,,,,"(0, 0, 0)",,"[('m', (237.744, 29.751999999999953)), ('l', (237.744, 42.253999999999905))]","[(237.744, 29.751999999999953), (237.744, 42.253999999999905)]",,1,"(0, 0, 0)",,,,
line,1,169.344,169.344,749.7460000000001,762.248,29.751999999999953,29.751999999999953,42.253999999999905,0.0,12.501999999999953,,,0,0,,0.5,,,,"(0, 0, 0)",,"[('m', (169.344, 29.751999999999953)), ('l', (169.344, 42.253999999999905))]","[(169.344, 29.751999999999953), (169.344, 42.253999999999905)]",,1,"(0, 0, 0)",,,,
line,1,237.494,281.194,761.998,761.998,30.001999999999953,30.001999999999953,30.001999999999953,43.70000000000002,0.0,,,0,0,,0.5,,,,"(0, 0, 0)",,"[('m', (237.494, 30.001999999999953)), ('l', (281.194, 30.001999999999953))]","[(237.494, 30.001999999999953), (281.194, 30.001999999999953)]",,1,"(0, 0, 0)",,,,
line,1,280.944,280.944,749.7460000000001,762.248,29.751999999999953,29.751999999999953,42.253999999999905,0.0,12.501999999999953,,,0,0,,0.5,,,,"(0, 0, 0)",,"[('m', (280.944, 29.751999999999953)), ('l', (280.944, 42.253999999999905))]","[(280.944, 29.751999999999953), (280.944, 42.253999999999905)]",,1,"(0, 0, 0)",,,,
line,1,237.744,237.744,749.7460000000001,762.248,29.751999999999953,29.751999999999953,42.253999999999905,0.0,12.501999999999953,,,0,0,,0.5,,,,"(0, 0, 0)",,"[('m', (237.744, 29.751999999999953)), ('l', (237.744, 42.253999999999905))]","[(237.744, 29.751999999999953), (237.744, 42.253999999999905)]",,1,"(0, 0, 0)",,,,
line,1,280.694,331.594,761.998,761.998,30.001999999999953,30.001999999999953,30.001999999999953,50.89999999999998,0.0,,,0,0,,0.5,,,,"(0, 0, 0)",,"[('m', (280.694, 30.001999999999953)), ('l', (331.594, 30.001999999999953))]","[(280.694, 30.001999999999953), (331.594, 30.001999999999953)]",,1,"(0, 0, 0)",,,,
line,1,331.344,331.344,749.7460000000001,762.248,29.751999999999953,29.751999999999953,42.253999999999905,0.0,12.501999999999953,,,0,0,,0.5,,,,"(0, 0, 0)",,"[('m', (331.344, 29.751999999999953)), ('l', (331.344, 42.253999999999905))]","[(331.344, 29.751999999999953), (331.344, 42.253999999999905)]",,1,"(0, 0, 0)",,,,
line,1,280.944,280.944,749.7460000000001,762.248,29.751999999999953,29.751999999999953,42.253999999999905,0.0,12.501999999999953,,,0,0,,0.5,,,,"(0, 0, 0)",,"[('m', (280.944, 29.751999999999953)), ('l', (280.944, 42.253999999999905))]","[(280.944, 29.751999999999953), (280.944, 42.253999999999905)]",,1,"(0, 0, 0)",,,,
line,1,331.094,381.99399999999997,761.998,761.998,30.001999999999953,30.001999999999953,30.001999999999953,50.89999999999998,0.0,,,0,0,,0.5,,,,"(0, 0, 0)",,"[('m', (331.094, 30.001999999999953)), ('l', (381.99399999999997, 30.001999999999953))]","[(331.094, 30.001999999999953), (381.99399999999997, 30.001999999999953)]",,1,"(0, 0, 0)",,,,
line,1,381.744,381.744,749.7460000000001,762.248,29.751999999999953,29.751999999999953,42.253999999999905,0.0,12.501999999999953,,,0,0,,0.5,,,,"(0, 0, 0)",,"[('m', (381.744, 29.751999999999953)), ('l', (381.744, 42.253999999999905))]","[(381.744, 29.751999999999953), (381.744, 42.253999999999905)]",,1,"(0, 0, 0)",,,,
line,1,331.344,331.344,749.7460000000001,762.248,29.751999999999953,29.751999999999953,42.253999999999905,0.0,12.501999999999953,,,0,0,,0.5,,,,"(0, 0, 0)",,"[('m', (331.344, 29.751999999999953)), ('l', (331.344, 42.253999999999905))]","[(331.344, 29.751999999999953), (331.344, 42.253999999999905)]",,1,"(0, 0, 0)",,,,
line,1,381.494,417.994,761.998,761.998,30.001999999999953,30.001999999999953,30.001999999999953,36.5,0.0,,,0,0,,0.5,,,,"(0, 0, 0)",,"[('m', (381.494, 30.001999999999953)), ('l', (417.994, 30.001999999999953))]","[(381.494, 30.001999999999953), (417.994, 30.001999999999953)]",,1,"(0, 0, 0)",,,,
line,1,417.744,417.744,749.7460000000001,762.248,29.751999999999953,29.751999999999953,42.253999999999905,0.0,12.501999999999953,,,0,0,,0.5,,,,"(0, 0, 0)",,"[('m', (417.744, 29.751999999999953)), ('l', (417.744, 42.253999999999905))]","[(417.744, 29.751999999999953), (417.744, 42.253999999999905)]",,1,"(0, 0, 0)",,,,
line,1,381.744,381.744,749.7460000000001,762.248,29.751999999999953,29.751999999999953,42.253999999999905,0.0,12.501999999999953,,,0,0,,0.5,,,,"(0, 0, 0)",,"[('m', (381.744, 29.751999999999953)), ('l', (381.744, 42.253999999999905))]","[(381.744, 29.751999999999953), (381.744, 42.253999999999905)]",,1,"(0, 0, 0)",,,,
line,1,417.494,461.194,761.998,761.998,30.001999999999953,30.001999999999953,30.001999999999953,43.69999999999999,0.0,,,0,0,,0.5,,,,"(0, 0, 0)",,"[('m', (417.494, 30.001999999999953)), ('l', (461.194, 30.001999999999953))]","[(417.494, 30.001999999999953), (461.194, 30.001999999999953)]",,1,"(0, 0, 0)",,,,
line,1,460.944,460.944,749.7460000000001,762.248,29.751999999999953,29.751999999999953,42.253999999999905,0.0,12.501999999999953,,,0,0,,0.5,,,,"(0, 0, 0)",,"[('m', (460.944, 29.751999999999953)), ('l', (460.944, 42.253999999999905))]","[(460.944, 29.751999999999953), (460.944, 42.253999999999905)]",,1,"(0, 0, 0)",,,,
line,1,417.744,417.744,749.7460000000001,762.248,29.751999999999953,29.751999999999953,42.253999999999905,0.0,12.501999999999953,,,0,0,,0.5,,,,"(0, 0, 0)",,"[('m', (417.744, 29.751999999999953)), ('l', (417.744, 42.253999999999905))]","[(417.744, 29.751999999999953), (417.744, 42.253999999999905)]",,1,"(0, 0, 0)",,,,
line,1,460.694,515.194,761.998,761.998,30.001999999999953,30.001999999999953,30.001999999999953,54.49999999999994,0.0,,,0,0,,0.5,,,,"(0, 0, 0)",,"[('m', (460.694, 30.001999999999953)), ('l', (515.194, 30.001999999999953))]","[(460.694, 30.001999999999953), (515.194, 30.001999999999953)]",,1,"(0, 0, 0)",,,,
line,1,514.944,514.944,749.7460000000001,762.248,29.751999999999953,29.751999999999953,42.253999999999905,0.0,12.501999999999953,,,0,0,,0.5,,,,"(0, 0, 0)",,"[('m', (514.944, 29.751999999999953)), ('l', (514.944, 42.253999999999905))]","[(514.944, 29.751999999999953), (514.944, 42.253999999999905)]",,1,"(0, 0, 0)",,,,
line,1,460.944,460.944,749.7460000000001,762.248,29.751999999999953,29.751999999999953,42.253999999999905,0.0,12.501999999999953,,,0,0,,0.5,,,,"(0, 0, 0)",,"[('m', (460.944, 29.751999999999953)), ('l', (460.944, 42.253999999999905))]","[(460.944, 29.751999999999953), (460.944, 42.253999999999905)]",,1,"(0, 0, 0)",,,,
line,1,514.694,594.322,761.998,761.998,30.001999999999953,30.001999999999953,30.001999999999953,79.62800000000004,0.0,,,0,0,,0.5,,,,"(0, 0, 0)",,"[('m', (514.694, 30.001999999999953)), ('l', (594.322, 30.001999999999953))]","[(514.694, 30.001999999999953), (594.322, 30.001999999999953)]",,1,"(0, 0, 0)",,,,
line,1,594.072,594.072,749.7460000000001,762.248,29.751999999999953,29.751999999999953,42.253999999999905,0.0,12.501999999999953,,,0,0,,0.5,,,,"(0, 0, 0)",,"[('m', (594.072, 29.751999999999953)), ('l', (594.072, 42.253999999999905))]","[(594.072, 29.751999999999953), (594.072, 42.253999999999905)]",,1,"(0, 0, 0)",,,,
line,1,514.944,514.944,749.7460000000001,762.248,29.751999999999953,29.751999999999953,42.253999999999905,0.0,12.501999999999953,,,0,0,,0.5,,,,"(0, 0, 0)",,"[('m', (514.944, 29.751999999999953)), ('l', (514.944, 42.253999999999905))]","[(514.944, 29.751999999999953), (514.944, 42.253999999999905)]",,1,"(0, 0, 0)",,,,
line,1,17.75,47.194,737.325,737.325,54.674999999999955,54.674999999999955,54.674999999999955,29.444000000000003,0.0,,,0,0,,0.5,,,,"(0, 0, 0)",,"[('m', (17.75, 54.674999999999955)), ('l', (47.194, 54.674999999999955))]","[(17.75, 54.674999999999955), (47.194, 54.674999999999955)]",,1,"(0, 0, 0)",,,,
line,1,46.944,46.944,737.0749999999999,750.246,41.75400000000002,41.75400000000002,54.92500000000007,0.0,13.17100000000005,,,0,0,,0.5,,,,"(0, 0, 0)",,"[('m', (46.944, 41.75400000000002)), ('l', (46.944, 54.92500000000007))]","[(46.944, 41.75400000000002), (46.944, 54.92500000000007)]",,1,"(0, 0, 0)",,,,
line,1,18.0,18.0,737.0749999999999,750.246,41.75400000000002,41.75400000000002,54.92500000000007,0.0,13.17100000000005,,,0,0,,0.5,,,,"(0, 0, 0)",,"[('m', (18.0, 41.75400000000002)), ('l', (18.0, 54.92500000000007))]","[(18.0, 41.75400000000002), (18.0, 54.92500000000007)]",,1,"(0, 0, 0)",,,,
line,1,46.694,169.594,737.325,737.325,54.674999999999955,54.674999999999955,54.674999999999955,122.89999999999999,0.0,,,0,0,,0.5,,,,"(0, 0, 0)",,"[('m', (46.694, 54.674999999999955)), ('l', (169.594, 54.674999999999955))]","[(46.694, 54.674999999999955), (169.594, 54.674999999999955)]",,1,"(0, 0, 0)",,,,
line,1,169.344,169.344,737.0749999999999,750.246,41.75400000000002,41.75400000000002,54.92500000000007,0.0,13.17100000000005,,,0,0,,0.5,,,,"(0, 0, 0)",,"[('m', (169.344, 41.75400000000002)), ('l', (169.344, 54.92500000000007))]","[(169.344, 41.75400000000002), (169.344, 54.92500000000007)]",,1,"(0, 0, 0)",,,,
line,1,46.944,46.944,737.0749999999999,750.246,41.75400000000002,41.75400000000002,54.92500000000007,0.0,13.17100000000005,,,0,0,,0.5,,,,"(0, 0, 0)",,"[('m', (46.944, 41.75400000000002)), ('l', (46.944, 54.92500000000007))]","[(46.944, 41.75400000000002), (46.944, 54.92500000000007)]",,1,"(0, 0, 0)",,,,
line,1,169.094,237.994,737.325,737.325,54.674999999999955,54.674999999999955,54.674999999999955,68.9,0.0,,,0,0,,0.5,,,,"(0, 0, 0)",,"[('m', (169.094, 54.674999999999955)), ('l', (237.994, 54.674999999999955))]","[(169.094, 54.674999999999955), (237.994, 54.674999999999955)]",,1,"(0, 0, 0)",,,,
line,1,237.744,237.744,737.0749999999999,750.246,41.75400000000002,41.75400000000002,54.92500000000007,0.0,13.17100000000005,,,0,0,,0.5,,,,"(0, 0, 0)",,"[('m', (237.744, 41.75400000000002)), ('l', (237.744, 54.92500000000007))]","[(237.744, 41.75400000000002), (237.744, 54.92500000000007)]",,1,"(0, 0, 0)",,,,
