header,varname,shortname,longname,sign,required,onetime,standard,tax,option,custom,modal
Family SGLI,family_sgli,SGLI FAM/SPOUSE,Servicemember's Group Life Insurance Premium for Spouses/Children,-1,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,sgli
TSGLI,tsgli,TSGLI,Servicemember's Group Life Insurance Premium for Traumatic Brain Injury,-1,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,sgli
State Taxes,state_taxes,STATE TAXES,State Taxes,-1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,statetaxes
Traditional TSP,traditional_tsp,TRADITIONAL TSP,Traditional Thrift Savings Plan,-1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,tsp
Roth TSP,roth_tsp,ROTH TSP,Roth Thrift Savings Plan,-1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,tsp
MGIB,mgib,MGIB,Montgomery G.I. Bill Program,-1,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,mgib
Debt,debt,DEBT,Government Debt,-1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,debt
Fine,fine,FINE,Military Fines,-1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,debt
Garnishment,garnishment,GARNISHMENT,Garnished Income,-1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,debt
AAFES Debt,aafes_debt,AAFES,AAFES Debt,-1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,debt
GPLD,gpld,GPLD,Government Property Lost or Damaged,-1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,debt
Meal Deduction,meal_deduction,MEAL DEDUCT,Meal Deduction,-1,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,bas
Partial Pay,partial_pay,PARTIAL PAY,Partial Pay,-1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,none
Pay Released,pay_released,PAY RELEASED,Pay Released,-1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,none
SUPP/COM,suppcom,SUPP/COM DEBT,Spousal Support/Court-Ordered Child Support,-1,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,suppcom
Prior SUPP/COM,prior_suppcom,PRIOR SUPP/COM,Prior Spousal Support/Court-Ordered Child Support,-1,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,suppcom
Repay Advance,repay_advance,REPAY ADVANCE,Repayment of Advance Pay,-1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,none
Split Pay,split_pay,SPLIT PAY,Split Pay Option,-1,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,navy
Split Pay Option,split_pay_option,SPO PAYMENT,Split Pay Option Payment for Accounting,-1,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,navy
AFRH,afrh,AFRH,Armed Forces Retirement Home,-1,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,afrh
USN/MC AFRH,usnmc_afrh,USN/MC RET HOME,Armed Forces Retirement Home,-1,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,afrh
USSH AFRH,ussh_afrh,USSH,Armed Forces Retirement Home,-1,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,afrh
Bank Account Allot,bank_account_allot,BANK ACCT ALLOT,Bank Account Allotment,-1,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,allotments
Discretionary Allot,discretionary_allot,DISCRETIONARY ALT,Discretionary Allotment,-1,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,allotments
Insurance Allot,insurance_allot,INSURANCE ALLOT,Insurance Allotment,-1,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,allotments
CFC Allot,cfc_allot,CFC ALLOT,Combined Federal Campaign Allotment,-1,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,allotments
AFAF Allot,afaf_allot,AFAF ALLOT,Air Force Assistance Fund Allotment,-1,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,allotments
AER Allot,aer_allot,AER ALLOT,Army Emergency Relief Allotment,-1,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,allotments
NMCRS Allot,nmcrs_allot,NMCRS ALLOT,Navy-Marine Corp Relief Society,-1,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,allotments
Tricare Dental,tricare_dental,TRICARE DENTAL,Tricare Dental,-1,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,allotments
U.S. Debt,us_debt,US DEBT,U.S. Debt,-1,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,allotments
Bond 1,bond_1,BOND #01,Bond 1,-1,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,allotments
Bond 2,bond_2,BOND #02,Bond 2,-1,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,allotments
Bond 3,bond_3,BOND #03,Bond 3,-1,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,allotments
