zipcode;index;mha_name
11709;1;Long Island, NY
11710;1;Long Island, NY
11713;1;Long Island, NY
11714;1;Long Island, NY
11715;1;Long Island, NY
11716;1;Long Island, NY
11717;1;Long Island, NY
11718;1;Long Island, NY
11719;1;Long Island, NY
11720;1;Long Island, NY
11721;1;Long Island, NY
11722;1;Long Island, NY
11724;1;Long Island, NY
11725;1;Long Island, NY
11726;1;Long Island, NY
11727;1;Long Island, NY
11729;1;Long Island, NY
11730;1;Long Island, NY
11731;1;Long Island, NY
11732;1;Long Island, NY
11733;1;Long Island, NY
11735;1;Long Island, NY
11737;1;Long Island, NY
11738;1;Long Island, NY
11739;1;Long Island, NY
11740;1;Long Island, NY
11741;1;Long Island, NY
11742;1;Long Island, NY
11743;1;Long Island, NY
11746;1;Long Island, NY
11747;1;Long Island, NY
11749;1;Long Island, NY
11751;1;Long Island, NY
11752;1;Long Island, NY
11753;1;Long Island, NY
11754;1;Long Island, NY
11755;1;Long Island, NY
11756;1;Long Island, NY
11757;1;Long Island, NY
11758;1;Long Island, NY
11760;1;Long Island, NY
11762;1;Long Island, NY
11763;1;Long Island, NY
11764;1;Long Island, NY
11765;1;Long Island, NY
11766;1;Long Island, NY
11767;1;Long Island, NY
11768;1;Long Island, NY
11769;1;Long Island, NY
11770;1;Long Island, NY
11771;1;Long Island, NY
11772;1;Long Island, NY
11773;1;Long Island, NY
11775;1;Long Island, NY
11776;1;Long Island, NY
11777;1;Long Island, NY
11778;1;Long Island, NY
11779;1;Long Island, NY
11780;1;Long Island, NY
11782;1;Long Island, NY
11783;1;Long Island, NY
11784;1;Long Island, NY
11786;1;Long Island, NY
11787;1;Long Island, NY
11788;1;Long Island, NY
11789;1;Long Island, NY
11790;1;Long Island, NY
11791;1;Long Island, NY
11792;1;Long Island, NY
11793;1;Long Island, NY
11794;1;Long Island, NY
11795;1;Long Island, NY
11796;1;Long Island, NY
11797;1;Long Island, NY
11798;1;Long Island, NY
11801;1;Long Island, NY
11802;1;Long Island, NY
11803;1;Long Island, NY
11804;1;Long Island, NY
11815;1;Long Island, NY
11853;1;Long Island, NY
11901;1;Long Island, NY
11930;1;Long Island, NY
11931;1;Long Island, NY
11932;1;Long Island, NY
11933;1;Long Island, NY
11934;1;Long Island, NY
11935;1;Long Island, NY
11937;1;Long Island, NY
11939;1;Long Island, NY
11940;1;Long Island, NY
11941;1;Long Island, NY
11942;1;Long Island, NY
11944;1;Long Island, NY
11946;1;Long Island, NY
11947;1;Long Island, NY
11948;1;Long Island, NY
11949;1;Long Island, NY
11950;1;Long Island, NY
11951;1;Long Island, NY
11952;1;Long Island, NY
11953;1;Long Island, NY
11954;1;Long Island, NY
11955;1;Long Island, NY
11956;1;Long Island, NY
11957;1;Long Island, NY
11958;1;Long Island, NY
11959;1;Long Island, NY
11960;1;Long Island, NY
11961;1;Long Island, NY
11962;1;Long Island, NY
11963;1;Long Island, NY
11964;1;Long Island, NY
11965;1;Long Island, NY
11967;1;Long Island, NY
11968;1;Long Island, NY
11969;1;Long Island, NY
11970;1;Long Island, NY
11971;1;Long Island, NY
11972;1;Long Island, NY
11973;1;Long Island, NY
11975;1;Long Island, NY
11976;1;Long Island, NY
11977;1;Long Island, NY
11978;1;Long Island, NY
11980;1;Long Island, NY
12031;2;Schoharie County, NY
12035;2;Schoharie County, NY
12036;2;Schoharie County, NY
12043;2;Schoharie County, NY
12071;2;Schoharie County, NY
12073;2;Schoharie County, NY
12076;2;Schoharie County, NY
12092;2;Schoharie County, NY
12093;2;Schoharie County, NY
12122;2;Schoharie County, NY
12131;2;Schoharie County, NY
12149;2;Schoharie County, NY
12157;2;Schoharie County, NY
12160;2;Schoharie County, NY
12175;2;Schoharie County, NY
12187;2;Schoharie County, NY
12194;2;Schoharie County, NY
12563;1;Westchester County, NY
13053;2;Tompkins County, NY
13062;2;Tompkins County, NY
13068;2;Tompkins County, NY
13073;2;Tompkins County, NY
13102;2;Tompkins County, NY
13143;2;Wayne County, NY
13146;2;Wayne County, NY
13154;2;Wayne County, NY
13459;2;Schoharie County, NY
14413;2;Wayne County, NY
14414;2;Livingston County, NY
14423;2;Livingston County, NY
14424;2;Ontario County, NY
14425;2;Ontario County, NY
14432;2;Ontario County, NY
14433;2;Wayne County, NY
14435;2;Livingston County, NY
14437;2;Livingston County, NY
14443;2;Ontario County, NY
14449;2;Wayne County, NY
14453;2;Ontario County, NY
14454;2;Livingston County, NY
14456;2;Ontario County, NY
14461;2;Ontario County, NY
14462;2;Livingston County, NY
14463;2;Ontario County, NY
14466;2;Ontario County, NY
14469;2;Ontario County, NY
14471;2;Ontario County, NY
14475;2;Ontario County, NY
14480;2;Livingston County, NY
14481;2;Livingston County, NY
14485;2;Livingston County, NY
14486;2;Livingston County, NY
14487;2;Livingston County, NY
14488;2;Livingston County, NY
14489;2;Wayne County, NY
14502;2;Wayne County, NY
14504;2;Ontario County, NY
14505;2;Wayne County, NY
14510;2;Livingston County, NY
14512;2;Ontario County, NY
14513;2;Wayne County, NY
14516;2;Wayne County, NY
14517;2;Livingston County, NY
14518;2;Ontario County, NY
14519;2;Wayne County, NY
14520;2;Wayne County, NY
14522;2;Wayne County, NY
14532;2;Ontario County, NY
14533;2;Livingston County, NY
14537;2;Ontario County, NY
14538;2;Wayne County, NY
14539;2;Livingston County, NY
14542;2;Wayne County, NY
14545;2;Livingston County, NY
14547;2;Ontario County, NY
14548;2;Ontario County, NY
14551;2;Wayne County, NY
14555;2;Wayne County, NY
14556;2;Livingston County, NY
14558;2;Livingston County, NY
14560;2;Livingston County, NY
14561;2;Ontario County, NY
14563;2;Wayne County, NY
14564;2;Ontario County, NY
14568;2;Wayne County, NY
14585;2;Ontario County, NY
14589;2;Wayne County, NY
14590;2;Wayne County, NY
14592;2;Livingston County, NY
14817;2;Tompkins County, NY
14836;2;Livingston County, NY
14846;2;Livingston County, NY
14850;2;Tompkins County, NY
14851;2;Tompkins County, NY
14852;2;Tompkins County, NY
14853;2;Tompkins County, NY
14854;2;Tompkins County, NY
14867;2;Tompkins County, NY
14881;2;Tompkins County, NY
14882;2;Tompkins County, NY
14886;2;Tompkins County, NY
89403;4;Bridgeport, CA
89410;4;Bridgeport, CA
89411;4;Bridgeport, CA
89413;4;Bridgeport, CA
89423;4;Bridgeport, CA
89428;4;Bridgeport, CA
89430;4;Bridgeport, CA
89444;4;Bridgeport, CA
89447;4;Bridgeport, CA
89448;4;Bridgeport, CA
89449;4;Bridgeport, CA
89460;4;Bridgeport, CA
90001;2;Los Angeles, CA
90002;2;Los Angeles, CA
90003;2;Los Angeles, CA
90004;2;Los Angeles, CA
90005;2;Los Angeles, CA
90006;2;Los Angeles, CA
90007;2;Los Angeles, CA
90008;2;Los Angeles, CA
90009;2;Los Angeles, CA
90010;2;Los Angeles, CA
90011;2;Los Angeles, CA
90012;2;Los Angeles, CA
90013;2;Los Angeles, CA
90014;2;Los Angeles, CA
90015;2;Los Angeles, CA
90016;2;Los Angeles, CA
90017;2;Los Angeles, CA
90018;2;Los Angeles, CA
90019;2;Los Angeles, CA
90020;2;Los Angeles, CA
90021;2;Los Angeles, CA
90022;2;Los Angeles, CA
90023;2;Los Angeles, CA
90024;2;Los Angeles, CA
90025;2;Los Angeles, CA
90026;2;Los Angeles, CA
90027;2;Los Angeles, CA
90028;2;Los Angeles, CA
90029;2;Los Angeles, CA
90030;2;Los Angeles, CA
90031;2;Los Angeles, CA
90032;2;Los Angeles, CA
90033;2;Los Angeles, CA
90034;2;Los Angeles, CA
90035;2;Los Angeles, CA
90036;2;Los Angeles, CA
90037;2;Los Angeles, CA
90038;2;Los Angeles, CA
90039;2;Los Angeles, CA
90040;2;Los Angeles, CA
90041;2;Los Angeles, CA
90042;2;Los Angeles, CA
90043;2;Los Angeles, CA
90044;2;Los Angeles, CA
90045;2;Los Angeles, CA
90046;2;Los Angeles, CA
90047;2;Los Angeles, CA
90048;2;Los Angeles, CA
90049;2;Los Angeles, CA
90050;2;Los Angeles, CA
90051;2;Los Angeles, CA
90052;2;Los Angeles, CA
90053;2;Los Angeles, CA
90054;2;Los Angeles, CA
90055;2;Los Angeles, CA
90056;2;Los Angeles, CA
90057;2;Los Angeles, CA
90058;2;Los Angeles, CA
90059;2;Los Angeles, CA
90060;2;Los Angeles, CA
90061;2;Los Angeles, CA
90062;2;Los Angeles, CA
90063;2;Los Angeles, CA
90064;2;Los Angeles, CA
90065;2;Los Angeles, CA
90066;2;Los Angeles, CA
90067;2;Los Angeles, CA
90068;2;Los Angeles, CA
90069;2;Los Angeles, CA
90070;2;Los Angeles, CA
90071;2;Los Angeles, CA
90072;2;Los Angeles, CA
90073;2;Los Angeles, CA
90074;2;Los Angeles, CA
90075;2;Los Angeles, CA
90076;2;Los Angeles, CA
90077;2;Los Angeles, CA
90078;2;Los Angeles, CA
90079;2;Los Angeles, CA
90080;2;Los Angeles, CA
90081;2;Los Angeles, CA
90082;2;Los Angeles, CA
90083;2;Los Angeles, CA
90084;2;Los Angeles, CA
90086;2;Los Angeles, CA
90087;2;Los Angeles, CA
